nombre_a,hp_a,ataque_a,defensa_a,velocidad_a,nombre_b,hp_b,ataque_b,defensa_b,velocidad_b,gano_a,turnos,dano_a,dano_b
Mister Sinister,208,117,120,116,Daphne Powell,22,17,14,19,1,1,116,0
United States,60,144,1,1,King Kong,173,255,186,181,0,1,0,252
Mali,4,19,1,1,Killer Frost,80,17,67,32,0,1,0,14
Darkstar,97,12,157,88,Kraven the Hunter,97,75,213,88,0,97,96,97
United States,60,144,1,1,Zapdos,86,168,117,161,0,1,0,148
Leader,31,17,99,29,Copycat,57,17,147,52,0,31,30,31
Kuwait,2,1,3,1,She-Hulk,232,255,173,106,0,1,0,224
Thor,232,255,252,211,Malawi,4,3,3,1,1,1,253,0
Luke Cage,220,157,173,73,Franklin Storm,1,17,14,1,1,1,153,0
Gravity,92,75,67,83,Sif,185,229,173,170,0,1,0,180
Saudi Arabia,6,30,1,1,Storm,69,17,186,119,0,1,0,14
Samoa,1,1,2,1,Sweden,3,8,1,1,0,1,1,6
Goldeen,38,123,81,91,Morocco,7,8,2,1,1,1,118,0
Elongated Man,208,17,94,83,Thunderbird,73,75,173,68,1,73,73,72
Mimic,129,168,99,119,Leech,31,4,25,29,1,1,140,0
Hellcat,104,20,173,83,Rhyhorn,75,159,132,20,1,75,75,74
Myanmar [Burma],11,11,2,1,Thing,232,213,199,52,0,1,0,210
Saint Vincent and the Grenadines,1,1,5,1,Cheetah,45,12,173,106,0,1,0,8
Swaziland,1,1,2,1,Jennifer Kale,97,17,178,88,0,1,0,16
Vanisher,129,17,99,191,Gyarados,91,237,108,125,0,1,1,150
Marshall Islands,1,1,6,2,Kabutops,54,218,146,123,0,1,0,228
Klaw,232,91,147,83,Moonstone,120,168,199,119,0,12,11,243
Vanisher,129,17,99,191,Flash IV,73,17,115,255,1,73,73,73
Ukraine,10,10,2,1,Elongated Man,208,17,94,83,0,1,0,13
Papua New Guinea,2,8,1,1,Turks and Caicos Islands,1,1,2,1,1,1,6,1
Aerodactyl,75,198,88,217,Namibia,1,13,1,1,1,1,194,0
Vanisher,129,17,99,191,Marowak,54,149,153,57,0,3,3,154
Kyle Rayner,138,229,147,127,Saint Vincent and the Grenadines,1,1,5,1,1,1,203,0
Diamondback,64,33,147,57,Vision,220,181,173,137,0,2,1,64
Hela,232,255,107,116,Serbia,2,2,2,1,1,1,241,0
Elle Bishop,97,12,99,29,Lickitung,86,99,103,29,1,86,86,86
Mister Knife,69,17,160,42,Quill,31,17,25,29,1,31,31,30
Scarlet Witch,162,17,199,73,Lapras,128,159,110,86,1,128,128,128
Greece,3,3,2,1,Saint Vincent and the Grenadines,1,1,5,1,1,1,1,1
Evil Deadpool,232,75,252,127,Macedonia,1,1,2,1,1,1,74,0
Bloodaxe,185,202,210,83,Legion,69,255,186,106,0,5,60,217
Zapdos,86,168,117,161,Ireland,2,2,2,1,1,1,183,0
Hercules,197,255,252,116,Shadow King,232,22,186,68,1,4,279,3
Ditto,41,86,63,63,Hit-Girl,45,9,160,73,0,41,40,41
Iraq,7,7,2,1,Deadpool,232,75,252,127,0,1,0,70
Luke Cage,220,157,173,73,Yoda,57,128,226,83,1,57,57,57
John Wraith,64,22,199,88,Iran,16,25,2,1,1,1,20,0
Monica Dawson,31,17,226,88,Lightning Lord,97,17,99,57,0,31,31,31
T-800,138,80,160,42,Predator,197,70,226,63,0,138,137,138
Darth Vader,80,117,252,83,Zatanna,64,17,136,57,1,64,64,63
Judge Dredd,115,38,239,96,Deathstroke,232,70,226,88,0,115,115,115
Thunderstrike,194,202,178,178,Giganta,197,226,99,57,1,3,280,94
Stargirl,208,202,133,63,Steel,208,207,157,134,0,3,94,223
Havok,138,17,107,63,Punisher,104,33,252,52,1,104,104,103
Human Torch,162,20,99,160,Martian Manhunter,232,242,213,234,0,1,0,164
Vindicator,148,157,173,134,Parademon,115,64,54,42,1,2,203,1
Rhydon,102,247,168,48,Rambo,69,27,252,63,1,69,69,69
Speedy,45,6,173,83,Klaw,232,91,147,83,0,45,45,45
Ukraine,10,10,2,1,Sierra Leone,2,2,2,1,1,1,8,1
Doomsday,232,255,226,170,Raven,162,17,94,73,1,2,337,1
Doc Samson,185,202,173,83,Goku,208,255,252,191,0,3,2,251
Spyke,138,22,67,42,Magmar,59,178,76,148,0,2,1,235
Thunderbird,73,75,173,68,Tiger Shark,162,181,62,116,0,10,112,77
King Kong,173,255,186,181,Guyana,1,4,1,1,1,1,259,0
Spider-Man,173,136,213,170,Flareon,59,247,81,95,1,1,62,0
Blade,115,64,226,96,Tunisia,3,3,2,1,1,1,65,0
Somalia,3,10,1,1,Warlock,220,86,239,201,0,1,0,98
Giganta,197,226,99,57,Spawn,208,149,239,127,0,4,3,197
Mayotte,1,1,7,1,Starfire,197,202,173,83,0,1,0,194
Ozymandias,45,38,239,83,Dazzler,138,17,133,83,0,45,45,45
Ireland,2,2,2,1,Nightcrawler,31,17,199,119,0,1,0,17
Mauritius,1,1,11,1,Blade,115,64,226,96,0,1,0,50
Osiris,220,215,99,152,Syria,5,4,3,1,1,1,222,0
Donatello,138,27,186,116,General Zod,232,255,239,245,0,3,2,197
Rwanda,3,1,7,1,Shatterstar,148,117,210,114,0,1,0,105
Kabutops,54,218,146,123,Honduras,3,3,2,1,1,1,236,0
Lithuania,2,2,2,1,Vixen,115,91,54,127,0,1,0,99
Storm,69,17,186,119,Sif,185,229,173,170,0,2,1,85
Dagger,97,17,173,88,Northstar,129,38,173,211,0,97,96,97
Kenya,9,10,2,1,Plastique,64,17,99,57,0,1,0,15
Hela,232,255,107,116,Comoros,1,1,6,1,1,1,266,0
Rick Flag,64,20,239,57,Penguin,64,17,107,29,1,64,64,63
Evil Deadpool,232,75,252,127,Mach-IV,194,86,136,152,1,194,194,194
Taskmaster,45,22,252,127,Captain Cold,45,17,41,42,1,45,45,44
Kathryn Janeway,57,12,120,52,Tanzania,9,15,2,1,1,1,11,0
Robin V,36,12,160,83,Syria,5,4,3,1,1,1,9,0
Darth Vader,80,117,252,83,Red Tornado,138,91,94,170,1,7,158,7
Kathryn Janeway,57,12,120,52,Hawkeye II,22,6,120,19,1,22,22,21
Rhyhorn,75,159,132,20,Heat Wave,104,17,67,42,1,2,201,2
Lesotho,1,1,2,1,Articuno,86,159,139,133,0,1,0,175
Hellboy,220,131,186,52,Iraq,7,7,2,1,1,1,111,0
Space Ghost,92,38,199,83,Rick Flag,64,20,239,57,1,64,64,63
MODOK,57,38,27,63,Vixen,115,91,54,127,0,1,0,69
North Korea,5,3,4,1,Mauritania,2,16,1,1,0,1,0,11
Mayotte,1,1,7,1,Power Girl,232,255,186,255,0,1,0,264
Monica Dawson,31,17,226,88,Heard Island and McDonald Islands,1,1,1,1,1,1,14,0
Brundlefly,92,75,27,63,Kazakhstan,4,41,1,1,1,1,64,0
Han Solo,45,17,147,42,Captain America,127,41,252,96,0,45,44,45
Zoom,64,17,62,255,Ultron,232,210,157,106,0,1,1,158
Jolt,73,22,99,68,Romania,5,5,2,1,1,1,18,0
Wyatt Wingfoot,1,17,136,29,Hela,232,255,107,116,0,1,0,128
Red Hulk,197,255,186,119,Goblin Queen,64,17,136,57,1,1,132,0
Catwoman,64,20,213,83,Silverclaw,97,64,99,88,0,64,63,64
Juggernaut,232,255,173,106,Sri Lanka,5,2,6,1,1,1,235,0
Box IV,64,189,136,57,Gorilla Grodd,162,131,160,83,1,6,170,6
Norway,2,6,1,1,Booster Gold,162,215,94,106,0,1,0,236
Mantis,185,12,199,83,El Salvador,2,1,5,1,1,1,7,0
Cameron Hicks,64,17,173,57,Portugal,3,2,3,1,1,1,13,0
Molten Man,194,184,136,57,Watcher,206,202,136,170,0,3,98,215
Moonstone,120,168,199,119,King Kong,173,255,186,181,0,2,1,121
Captain Britain,138,194,199,127,Trinidad and Tobago,1,1,5,1,1,1,185,0
King Shark,208,223,94,127,Superboy-Prime,232,255,213,255,0,2,9,321
Cable,129,117,199,57,Man of Miracles,232,255,252,255,0,3,2,154
Colossus,232,210,199,83,Psylocke,92,78,226,63,1,92,92,91
Seychelles,1,1,4,1,Jolteon,59,119,81,217,0,1,0,101
Cloak,148,17,136,119,Black Panther,138,33,252,75,1,138,138,137
Darkseid,232,255,239,211,Plastic Man,232,157,136,57,1,2,236,1
Red Mist,31,17,136,57,Jean-Luc Picard,69,17,160,42,0,31,31,31
Krypto,208,202,94,255,Namora,97,215,157,106,1,2,97,124
Deathstroke,232,70,226,88,Tangela,59,99,161,86,1,59,59,58
Iceland,1,3,1,1,Changeling,97,17,157,57,0,1,0,17
Horsea,22,70,95,86,Multiple Man,162,20,152,57,0,22,22,22
Leech,31,4,25,29,Siryn,64,12,99,119,0,31,30,31
Kraven II,64,80,213,57,Hancock,232,229,120,170,0,4,3,65
Hercules,197,255,252,116,Russia,28,255,1,1,1,1,255,0
Franklin Storm,1,17,14,1,Polaris,115,184,107,106,0,1,0,169
Uruguay,2,4,1,1,Jean-Luc Picard,69,17,160,42,0,1,0,15
DL Hawkins,129,22,136,29,Black Knight III,162,17,173,19,0,129,129,129
Emma Frost,208,157,99,88,Morocco,7,8,2,1,1,1,147,0
Box IV,64,189,136,57,Nick Fury,97,20,252,57,0,64,64,64
Stardust,255,215,213,255,Daphne Powell,22,17,14,19,1,1,203,0
Siren,138,154,147,201,Turkey,16,13,2,1,1,1,171,0
Flash IV,73,17,115,255,Zimbabwe,3,7,1,1,1,1,18,0
Robin III,64,20,213,68,Rocket Raccoon,64,4,157,57,1,64,64,63
Spectre,232,255,173,255,Comoros,1,1,6,1,1,1,227,0
Kilowog,97,229,199,134,Purple Man,69,17,14,19,1,1,202,0
Darkseid,232,255,239,211,Mauritania,2,16,1,1,1,1,270,0
Jack-Jack,185,80,4,170,Daredevil,80,25,252,63,0,9,9,189
Uzbekistan,6,8,2,1,Lesotho,1,1,2,1,1,1,7,1
Medusa,162,80,136,88,Leonardo,150,33,199,127,1,150,150,150
Vulture,57,49,67,106,Spider-Girl,150,91,186,152,0,3,2,71
Eevee,49,99,66,76,Carnage,194,157,226,178,0,1,0,83
Zatanna,64,17,136,57,The Comedian,22,27,199,42,1,22,22,21
Dagger,97,17,173,88,Ink,92,64,120,42,1,92,92,91
Marowak,54,149,153,57,Captain Planet,185,223,147,191,0,1,0,74
Faora,232,242,226,191,Tinkerer,31,17,25,57,1,1,202,0
Kabutops,54,218,146,123,Jubilee,45,12,226,55,1,45,45,44
Staryu,22,80,74,133,Luxembourg,1,1,4,1,1,1,75,0
Jason Bourne,69,22,252,73,Robin II,64,20,213,68,1,64,64,63
Lex Luthor,150,131,173,63,Liberia,2,3,1,1,1,1,114,0
Raphael,150,35,199,127,Hawkeye,22,22,199,52,1,22,22,21
Dagger,97,17,173,88,Jubilee,45,12,226,55,1,45,45,44
Lobo,232,255,213,137,War Machine,232,202,213,160,1,6,270,6
Storm,69,17,186,119,Porygon,59,109,95,48,1,59,59,58
Han Solo,45,17,147,42,JJ Powell,22,17,14,19,1,8,24,7
Guinea-Bissau,1,2,2,1,Isle of Man,1,1,3,1,0,1,0,1
Tauros,70,188,132,180,Venezuela,6,15,1,1,1,1,183,0
Iceman,232,75,157,134,Wolfsbane,97,33,99,88,1,97,97,96
Namor,162,242,213,147,Ireland,2,2,2,1,1,1,208,0
Jordan,2,2,2,1,San Marino,1,1,9,3,1,1,1,1
Professor Zoom,45,17,41,255,Electro,129,17,157,127,0,45,45,45
Wyatt Wingfoot,1,17,136,29,Nightcrawler,31,17,199,119,0,1,0,1
Nauru,1,1,8,6,Impulse,138,17,147,255,0,1,0,9
Heard Island and McDonald Islands,1,1,1,1,Taiwan,5,2,11,1,0,1,0,1
Iron Fist,115,136,252,83,Vulture,57,49,67,106,1,1,79,1
Molten Man,194,184,136,57,Bizarro,232,242,213,255,0,2,1,209
Mysterio,92,17,173,42,Michelangelo,150,27,186,127,0,92,91,92
Matt Parkman,31,17,136,29,Vanuatu,1,1,1,1,1,1,18,0
Spyke,138,22,67,42,Comoros,1,1,6,1,1,1,17,0
Mockingbird,45,72,239,96,Darkhawk,162,75,157,83,0,45,45,45
Toxin,194,184,173,178,Ireland,2,2,2,1,1,1,157,0
Han Solo,45,17,147,42,Siryn,64,12,99,119,0,45,44,45
Leader,31,17,99,29,Guam,1,1,5,1,1,1,11,0
Negasonic Teenage Warhead,22,9,80,19,Leader,31,17,99,29,0,22,21,22
Macao,1,1,28,1,Colossus,232,210,199,83,0,1,0,156
Rorschach,45,17,199,73,Savage Dragon,197,176,178,137,0,45,44,45
Maverick,97,17,213,29,Moonstone,120,168,199,119,0,97,96,97
Blizzard II,97,17,136,68,White Canary,34,9,226,83,1,34,34,34
Doctor Fate,185,33,120,63,Jean Grey,45,202,173,52,0,3,3,240
Wildfire,232,75,99,57,Miss Martian,232,215,107,147,0,2,1,242
Dazzler,138,17,133,83,Sweden,3,8,1,1,1,1,14,0
Saint Vincent and the Grenadines,1,1,5,1,Chamber,185,17,157,50,0,1,0,11
Sierra Leone,2,2,2,1,Ray,232,17,41,234,0,1,0,17
Slovakia,2,2,3,1,Shadow Lass,45,17,199,170,0,1,0,12
Gary Bell,22,4,14,19,Oman,2,4,1,1,1,1,3,0
Black Flash,185,17,67,255,Sandman,208,189,147,116,0,2,2,244
Jersey,1,1,13,2,Parademon,115,64,54,42,0,1,0,48
Husk,180,157,157,88,Nepal,7,3,4,1,1,1,158,0
Sobek,106,80,136,57,Saudi Arabia,6,30,1,1,1,1,82,0
JJ Powell,22,17,14,19,South Africa,10,19,2,1,1,1,13,0
Netherlands,4,2,7,1,Catwoman,64,20,213,83,0,1,0,15
Japan,25,7,6,1,Staryu,22,80,74,133,0,1,0,64
Static,115,12,94,106,Ultragirl,162,202,199,88,0,1,1,120
Kraven the Hunter,97,75,213,88,Senegal,3,4,2,1,1,1,83,0
Puerto Rico,2,1,7,1,One-Above-All,232,255,252,255,0,1,0,231
Mera,138,154,199,201,Guyana,1,4,1,1,1,1,164,0
Robin II,64,20,213,68,Buffy,162,64,147,106,0,64,63,64
Kyrgyzstan,2,4,1,1,Living Tribunal,232,255,67,255,0,1,0,248
New Zealand,2,5,1,1,Svalbard and Jan Mayen,1,2,1,1,1,1,4,1
Shatterstar,148,117,210,114,Chad,3,20,1,1,1,1,122,0
Black Mamba,97,17,160,88,Ink,92,64,120,42,1,92,92,91
Simon Baz,127,229,147,106,Gladiator,232,255,173,255,0,2,49,229
Light Lass,64,17,99,88,War Machine,232,202,213,160,0,1,0,114
Ms Marvel II,194,157,136,57,Blackwulf,69,64,54,19,1,1,89,0
Eevee,49,99,66,76,Snowbird,97,75,125,68,0,6,6,53
Darth Vader,80,117,252,83,Ethan Hunt,69,20,239,73,1,69,69,68
Leech,31,4,25,29,Indigo,115,157,120,127,0,1,0,141
U.S. Minor Outlying Islands,1,1,1,113,Elektra,64,20,252,75,0,1,1,22
Rwanda,3,1,7,1,Marvel Girl,97,215,199,119,0,1,0,236
North Korea,5,3,4,1,Century,148,202,252,134,0,1,0,214
Judge Dredd,115,38,239,96,Onslaught,232,255,133,83,0,7,7,117
Panama,2,2,2,1,Rhyhorn,75,159,132,20,0,1,0,157
Phoenix,232,255,199,211,Articuno,86,159,139,133,1,1,115,0
King Kong,173,255,186,181,Liechtenstein,1,1,4,2,1,1,232,0
Colossus,232,210,199,83,Tanzania,9,15,2,1,1,1,198,0
Power Girl,232,255,186,255,Rambo,69,27,252,63,1,23,69,22
She-Hulk,232,255,173,106,Black Cat,22,33,173,83,1,1,78,0
Thunderbird,73,75,173,68,Flash IV,73,17,115,255,0,73,72,73
Sudan,8,29,1,1,Warp,64,17,120,57,0,1,0,14
Liberia,2,3,1,1,Zimbabwe,3,7,1,1,0,1,2,6
Mozambique,5,13,1,1,Zoom,64,17,62,255,0,1,0,15
Black Bolt,194,168,136,255,Toxin,194,184,173,178,0,4,4,200
Metallo,220,131,157,57,Leonardo,150,33,199,127,1,150,150,150
Darth Vader,80,117,252,83,Ray,232,17,41,234,1,4,307,4
Venompool,232,141,252,160,Mister Fantastic,162,17,157,45,1,162,162,161
Syria,5,4,3,1,Man-Thing,232,75,94,19,0,1,0,74
Enchantress,138,27,94,63,Firebird,31,12,99,101,1,31,31,31
Darkhawk,162,75,157,83,Saint Lucia,1,1,5,1,1,1,63,0
French Southern Territories,1,1,1,1,Kingpin,92,38,173,63,0,1,0,40
James T. Kirk,69,20,186,42,Laos,2,5,1,1,1,1,20,0
Ronin,22,22,199,52,Lobo,232,255,213,137,0,1,0,49
Nightwing,64,20,252,83,Jolteon,59,119,81,217,1,59,59,59
Flash,115,17,72,255,Miss Martian,232,215,107,147,0,1,1,126
Kick-Ass,80,17,136,57,Magog,148,117,178,57,0,80,79,80
Mera,138,154,199,201,Kraven the Hunter,97,75,213,88,1,97,97,96
Malta,1,1,20,1,Saint Lucia,1,1,5,1,1,1,1,0
Jessica Jones,162,107,133,127,Black Mamba,97,17,160,88,1,97,97,96
Heat Wave,104,17,67,42,Nicaragua,2,3,2,1,1,1,15,0
Shang-Chi,115,22,252,75,Cheetah,45,12,173,106,1,45,45,45
Hawkeye II,22,6,120,19,Evilhawk,162,75,157,83,0,22,21,22
Captain Planet,185,223,147,191,Maldives,1,1,21,1,1,1,182,0
Isle of Man,1,1,3,1,Thor,232,255,252,211,0,1,0,239
Ethan Hunt,69,20,239,73,Suriname,1,3,1,1,1,1,21,0
Mantis,185,12,199,83,Eevee,49,99,66,76,1,49,49,48
Poison Ivy,92,27,94,52,Mister Fantastic,162,17,157,45,0,92,92,92
Taiwan,5,2,11,1,Jubilee,45,12,226,55,0,5,4,5
Senegal,3,4,2,1,James T. Kirk,69,20,186,42,0,1,0,16
Magmar,59,178,76,148,Iceland,1,3,1,1,1,1,178,0
Ink,92,64,120,42,Magus,229,255,184,178,0,1,0,150
Toxin,194,184,173,178,Magmar,59,178,76,148,1,1,110,0
Mr Immortal,232,17,67,19,Psylocke,92,78,226,63,0,22,21,238
Captain Hindsight,69,17,41,211,Rhyhorn,75,159,132,20,0,1,1,116
Predator,197,70,226,63,Ego,229,202,62,211,1,30,233,30
Darkman,197,27,62,57,Myanmar [Burma],11,11,2,1,1,1,22,0
U.S. Minor Outlying Islands,1,1,1,113,Destroyer,227,242,173,147,0,1,0,229
Cyclops,97,17,199,57,Cyborg Superman,232,236,199,234,0,3,2,107
Poland,8,6,3,1,Oracle,64,20,189,57,0,1,0,16
Kuwait,2,1,3,1,Demogoblin,80,117,147,106,0,1,0,129
Hitmonlee,43,227,71,136,Green Arrow,64,22,226,88,0,43,43,43
Warpath,162,181,210,119,Wasp,120,35,99,147,1,2,149,2
Evil Deadpool,232,75,252,127,Moses Magnum,97,64,136,29,1,97,97,96
Jersey,1,1,13,2,Mauritania,2,16,1,1,0,1,1,3
Sage,31,17,136,29,Hybrid,173,157,199,147,0,2,1,40
Mystique,148,22,184,57,Black Widow,69,25,252,83,1,69,69,69
Dratini,34,117,59,67,Static,115,12,94,106,1,6,135,6
Mera,138,154,199,201,Flash II,138,117,147,255,1,19,139,19
Ghost Rider,232,136,147,63,Punisher,104,33,252,52,1,104,104,103
Tiger Shark,162,181,62,116,Naruto Uzumaki,185,202,252,81,0,2,2,301
Magneto,194,202,199,68,Firebird,31,12,99,101,1,1,107,1
Doctor Octopus,92,117,160,83,Darkseid,232,255,239,211,0,1,0,109
Mr. Mime,33,80,88,142,Evilhawk,162,75,157,83,0,33,33,33
Aerodactyl,75,198,88,217,Sweden,3,8,1,1,1,1,170,0
Magog,148,117,178,57,Shocker,162,17,136,57,0,148,147,148
Toad,129,80,62,147,Porygon,59,109,95,48,0,3,3,149
Rambo,69,27,252,63,Lobo,232,255,213,137,0,23,22,69
Copycat,57,17,147,52,Hit-Girl,45,9,160,73,1,45,45,45
Yellowjacket II,64,17,62,88,Krypto,208,202,94,255,0,1,0,132
Captain Cold,45,17,41,42,Deathstroke,232,70,226,88,0,2,1,57
Mauritius,1,1,11,1,Lithuania,2,2,2,1,0,1,1,1
Elongated Man,208,17,94,83,Uruguay,2,4,1,1,1,1,17,0
Jessica Jones,162,107,133,127,Dagger,97,17,173,88,1,97,97,96
Scorpia,64,64,62,106,Sri Lanka,5,2,6,1,1,1,52,0
Nebula,115,128,147,32,Darth Vader,80,117,252,83,1,80,80,80
Ymir,232,255,62,68,Koffing,33,119,132,39,1,1,116,0
Gyarados,91,237,108,125,Kilowog,97,229,199,134,0,1,0,109
Slovakia,2,2,3,1,Montserrat,1,1,2,2,1,1,1,1
Kabutops,54,218,146,123,Eevee,49,99,66,76,1,1,163,0
Goblin Queen,64,17,136,57,French Southern Territories,1,1,1,1,1,1,17,0
Galactus,232,255,120,211,Thundra,148,205,131,81,1,2,246,91
White Canary,34,9,226,83,Flash III,138,17,72,255,0,34,33,34
Harley Quinn,150,22,199,83,Mozambique,5,13,1,1,1,1,18,0
Shadow King,232,22,186,68,Scorpia,64,64,62,106,1,64,64,64
Q,232,22,94,42,Vision,220,181,173,137,0,3,2,262
Nebula,115,128,147,32,Catwoman,64,20,213,83,1,64,64,64
Cambodia,4,4,2,1,Saudi Arabia,6,30,1,1,0,1,0,31
Leader,31,17,99,29,Ultron,232,210,157,106,0,1,0,114
Jolteon,59,119,81,217,Mister Freeze,162,75,62,29,1,3,187,2
Wasp,120,35,99,147,Red Robin,73,20,199,68,1,73,73,72
Mister Zsasz,64,49,213,83,Gary Bell,22,4,14,19,1,1,34,0
Panama,2,2,2,1,Feral,64,64,173,114,0,1,0,68
Scyther,64,208,110,170,Junkpile,208,91,67,42,1,2,267,1
Impulse,138,17,147,255,Cyborg Superman,232,236,199,234,0,2,2,187
Chuck Norris,129,202,250,119,Magus,229,255,184,178,1,13,241,66
Box IV,64,189,136,57,Tempest,64,17,147,114,1,2,81,2
Madagascar,5,10,2,1,Static,115,12,94,106,0,1,0,11
Rachel Pirzad,22,1,14,19,Deadpool,232,75,252,127,0,1,0,69
She-Hulk,232,255,173,106,Rwanda,3,1,7,1,1,1,262,0
Firestorm,129,131,99,147,Gyarados,91,237,108,125,0,1,26,133
Ink,92,64,120,42,Rhydon,102,247,168,48,0,1,0,127
Kabuto,22,149,124,76,Han Solo,45,17,147,42,0,22,44,22
Kraven the Hunter,97,75,213,88,Kevin 11,31,9,94,29,1,31,31,30
Maya Herrera,31,17,25,29,Ronin,22,22,199,52,1,22,22,22
Green Goblin,138,117,120,96,Superboy-Prime,232,255,213,255,0,2,1,286
Mexico,22,30,2,1,Sobek,106,80,136,57,0,1,0,86
Sobek,106,80,136,57,Doppelganger,220,157,210,152,0,6,5,126
James Bond,80,25,226,42,Han Solo,45,17,147,42,1,45,45,44
White Canary,34,9,226,83,Bloodaxe,185,202,210,83,0,34,34,34
Cannonball,229,64,136,170,Kool-Aid Man,22,38,25,19,1,1,35,0
Spider-Girl,150,91,186,152,Ozymandias,45,38,239,83,1,45,45,44
Poland,8,6,3,1,Robin V,36,12,160,83,0,1,0,10
Articuno,86,159,139,133,Namorita,162,181,173,119,0,2,2,90
Hulk,232,255,213,160,Sunspot,57,157,173,88,1,1,80,0
Katniss Everdeen,57,12,133,52,Somalia,3,10,1,1,1,1,12,0
Yemen,5,9,2,1,Panama,2,2,2,1,1,1,7,0
Black Canary,45,12,199,83,Dash,138,22,67,234,0,45,44,45
Multiple Man,162,20,152,57,Swarm,208,38,80,127,0,162,161,162
Red Arrow,45,33,199,63,Guyana,1,4,1,1,1,1,36,0
Loki,197,157,147,116,Mystique,148,22,184,57,1,148,148,147
Hancock,232,229,120,170,Gravity,92,75,67,83,1,1,169,0
Cambodia,4,4,2,1,Light Lass,64,17,99,88,0,1,0,13
Riddler,31,17,25,29,Invisible Woman,197,17,136,68,0,31,30,31
Wolverine,232,75,252,127,Articuno,86,159,139,133,1,86,86,86
MODOK,57,38,27,63,Bird-Brain,64,17,99,88,0,57,56,57
Slovenia,1,1,2,1,Medusa,162,80,136,88,0,1,0,71
Guatemala,4,3,3,1,Cheetah,45,12,173,106,0,1,0,8
New Caledonia,1,1,1,1,Pinsir,59,237,139,133,0,1,0,256
Iran,16,25,2,1,Honduras,3,3,2,1,1,1,21,0
New Zealand,2,5,1,1,Cyborg Superman,232,236,199,234,0,1,0,241
Turks and Caicos Islands,1,1,2,1,Guinea,3,5,2,1,0,1,0,3
Power Girl,232,255,186,255,Iron Monger,208,157,136,63,1,2,241,1
Lebanon,2,1,7,1,Moonstone,120,168,199,119,0,1,0,145
Falcon,64,25,157,127,Man-Thing,232,75,94,19,0,64,64,64
Stargirl,208,202,133,63,Robin II,64,20,213,68,1,64,64,64
Elle Bishop,97,12,99,29,Lickitung,86,99,103,29,1,86,86,86
Wonder Girl,185,229,147,63,Kylo Ren,69,107,173,83,1,2,111,2
Hawkgirl,229,64,178,134,Mayotte,1,1,7,1,1,1,57,0
Maverick,97,17,213,29,Martinique,1,1,7,1,1,1,9,0
Hawkeye,22,22,199,52,Simon Baz,127,229,147,106,0,1,0,26
Rorschach,45,17,199,73,Violet Parr,115,14,27,32,0,45,45,45
Iron Monger,208,157,136,63,Lebanon,2,1,7,1,1,1,148,0
Marvel Girl,97,215,199,119,Svalbard and Jan Mayen,1,2,1,1,1,1,239,0
Scyther,64,208,110,170,Equatorial Guinea,1,1,2,1,1,1,190,0
Flash,115,17,72,255,Kyrgyzstan,2,4,1,1,1,1,14,0
Hit-Girl,45,9,160,73,Robin II,64,20,213,68,0,45,45,45
Vegeta,220,255,252,234,Syria,5,4,3,1,1,1,269,0
Haiti,3,1,6,1,Magus,229,255,184,178,0,1,0,258
Svalbard and Jan Mayen,1,2,1,1,Darth Vader,80,117,252,83,0,1,0,130
Rocket Raccoon,64,4,157,57,Darkhawk,162,75,157,83,0,64,63,64
Dragonair,55,157,88,104,Iceland,1,3,1,1,1,1,152,0
Harry Potter,22,9,120,52,Eevee,49,99,66,76,0,22,21,22
Kiribati,1,1,3,1,Hitmonlee,43,227,71,136,0,1,0,244
Turkey,16,13,2,1,Ymir,232,255,62,68,0,1,0,277
Magus,229,255,184,178,Vegeta,220,255,252,234,0,4,9,285
Vision,220,181,173,137,Iran,16,25,2,1,1,1,186,0
Scarecrow,31,17,120,29,Exodus,64,205,173,70,0,1,0,73
Weezing,59,168,168,86,Mr Immortal,232,17,67,19,1,3,299,2
Man-Wolf,97,107,173,88,Storm,69,17,186,119,1,69,69,69
Supergirl,232,255,186,255,Multiple Man,162,20,152,57,1,2,192,1
Light Lass,64,17,99,88,Lithuania,2,2,2,1,1,1,14,0
Jynx,59,90,45,152,Micro Lad,64,64,72,68,1,4,70,57
Siryn,64,12,99,119,King Kong,173,255,186,181,0,1,0,169
Isis,106,117,136,191,Lobo,232,255,213,137,0,1,1,123
Paul Blart,115,20,1,52,Legion,69,255,186,106,0,1,0,290
Brainiac,208,242,186,160,Taiwan,5,2,11,1,1,1,246,0
Goldeen,38,123,81,91,Poison Ivy,92,27,94,52,1,4,118,3
Leonardo,150,33,199,127,Ms Marvel II,194,157,136,57,0,150,150,150
Elastigirl,220,75,173,83,Vatican City,1,1,32,255,1,1,41,1
Killer Frost,80,17,67,32,Magus,229,255,184,178,0,1,0,192
Daphne Powell,22,17,14,19,Toxin,194,184,173,178,0,1,0,183
Katniss Everdeen,57,12,133,52,Daredevil,80,25,252,63,0,57,56,57
Blackwing,73,17,136,88,Zapdos,86,168,117,161,0,3,2,91
Macao,1,1,28,1,Nepal,7,3,4,1,0,1,1,1
Ozymandias,45,38,239,83,Supergirl,232,255,186,255,0,3,2,50
Heard Island and McDonald Islands,1,1,1,1,Hellcat,104,20,173,83,0,1,0,21
Liberia,2,3,1,1,Black Canary,45,12,199,83,0,1,0,12
Kenya,9,10,2,1,Kyrgyzstan,2,4,1,1,1,1,9,2
Meltdown,97,17,157,29,Citizen Steel,232,242,147,83,0,2,1,155
